18911 | train: 99.072% | test : 98.940% | LR: 0.00005554 | Dropout: 0.592 | time: 0.630s
18912 | train: 99.030% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.630s
18913 | train: 98.983% | test : 98.950% | LR: 0.00005481 | Dropout: 0.595 | time: 0.631s
18914 | train: 99.002% | test : 98.900% | LR: 0.00005850 | Dropout: 0.595 | time: 0.630s
18915 | train: 99.013% | test : 98.900% | LR: 0.00005850 | Dropout: 0.595 | time: 0.631s
18916 | train: 98.988% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.630s
18917 | train: 98.997% | test : 98.980% | LR: 0.00005263 | Dropout: 0.595 | time: 0.632s
18918 | train: 99.000% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.630s
18919 | train: 99.015% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.631s
18920 | train: 98.957% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.629s
18921 | train: 98.903% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.629s
18922 | train: 98.993% | test : 98.900% | LR: 0.00005850 | Dropout: 0.594 | time: 0.631s
18923 | train: 98.963% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.632s
18924 | train: 99.028% | test : 98.980% | LR: 0.00005263 | Dropout: 0.596 | time: 0.631s
18925 | train: 98.927% | test : 98.960% | LR: 0.00005408 | Dropout: 0.596 | time: 0.631s
18926 | train: 98.965% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.632s
18927 | train: 98.980% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.629s
18928 | train: 98.965% | test : 98.900% | LR: 0.00005850 | Dropout: 0.593 | time: 0.631s
18929 | train: 99.008% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.630s
18930 | train: 98.980% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.630s
18931 | train: 98.993% | test : 98.990% | LR: 0.00005191 | Dropout: 0.593 | time: 0.633s
18932 | train: 99.023% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.631s
18933 | train: 99.018% | test : 98.950% | LR: 0.00005481 | Dropout: 0.595 | time: 0.630s
18934 | train: 99.060% | test : 98.960% | LR: 0.00005408 | Dropout: 0.599 | time: 0.630s
18935 | train: 99.000% | test : 98.930% | LR: 0.00005628 | Dropout: 0.599 | time: 0.630s
18936 | train: 98.917% | test : 98.950% | LR: 0.00005481 | Dropout: 0.594 | time: 0.632s
